a,b,answer
90,66,19
68,12,38
65,85,35
15,44,29
69,35,38
4,30,26
72,96,25
42,61,15
46,21,53
52,36,23
96,21,60
16,35,6
61,9,93
93,11,79
20,75,52
77,37,65
10,3,68
29,34,95
31,67,41
69,46,50
46,89,67
94,44,33
86,93,27
24,11,11
49,56,13
3,46,57
70,18,47
11,16,31
80,69,11
26,23,18
20,35,56
45,65,38
15,30,49
30,79,63
32,80,78
11,21,19
61,60,77
31,87,26
10,2,5
21,38,95
60,22,38
16,22,36
43,26,80
88,68,7
70,62,95
78,52,50
37,96,60
94,84,45
2,76,23
19,1,19
56,96,41
78,42,85
63,12,78
66,45,92
84,11,87
12,81,72
93,2,95
50,85,12
54,22,73
34,42,47
32,35,12
29,50,84
15,69,93
62,55,17
72,25,96
22,8,27
19,56,9
34,89,20
42,16,39
69,80,53
32,55,87
14,3,37
16,37,45
41,84,64
27,55,34
93,49,89
64,7,23
40,56,70
47,20,46
18,92,74
56,3,51
45,62,68
44,62,32
73,62,9
32,36,44
50,12,85
7,53,77
6,19,82
41,77,61
55,45,12
51,31,83
45,22,77
17,11,28
55,87,43
18,44,93
72,51,87
24,35,9
41,86,58
93,52,82
21,57,31
14,19,62
74,50,17
9,68,90
30,4,56
80,7,53
8,45,67
57,21,72
17,14,22
79,84,76
79,72,24
89,66,91
6,41,38
63,33,46
78,85,42
35,40,13
80,82,27
57,3,19
3,22,31
68,34,2
9,77,82
18,33,27
6,14,42
17,80,96
26,4,55
35,7,5
20,3,39
76,37,44
20,9,13
43,37,30
82,39,22
79,13,21
38,95,78
53,84,78
80,53,7
34,9,90
43,68,42
59,50,7
93,18,86
7,37,50
18,1,18
12,50,8
29,17,93
72,15,63
80,29,73
87,41,66
19,81,17
14,63,11
55,57,35
1,14,7
91,94,2
51,9,38
72,82,34
25,86,33
58,80,8
78,81,80
68,29,96
94,33,44
78,59,49
52,81,21
60,75,59
8,29,17
11,93,70
52,24,83
64,28,30
19,94,26
28,66,21
31,14,23
16,41,69
13,20,54
73,39,74
53,21,21
62,9,50
65,84,92
35,93,64
93,64,6
18,61,48
55,91,7
75,95,11
29,91,76
35,12,11
46,66,83
7,96,90
33,20,55
91,93,50
78,75,67
3,65,9
81,92,42
3,39,15
62,64,4
22,49,44
77,4,92
5,26,86
63,26,36
96,15,84
23,37,95
60,7,64
39,47,71
16,88,9
14,35,78
65,5,13
61,37,20
41,24,30
27,75,12
18,38,26
82,31,84
5,22,84
52,43,17
27,58,59
33,3,11
72,54,66
20,10,2
80,19,91
3,85,24
81,38,20
41,78,54
29,3,42
85,33,79
10,30,65
95,82,26
80,4,20
66,55,40
44,22,2
80,39,12
72,58,28
28,61,10
39,76,12
26,36,60
33,69,30
40,11,83
41,82,49
64,36,88
30,77,47
82,52,65
41,28,95
83,21,64
61,42,13
32,28,15
94,78,41
20,80,73
27,13,17
39,74,70
23,45,35
93,30,71
18,32,43
57,59,47
73,26,14
74,3,57
13,3,69
19,87,66
0,93,0
89,67,52
40,94,19
24,89,94
28,44,80
47,13,26
81,51,13
2,57,63
69,44,17
77,67,33
14,39,70
54,18,3
49,32,47
78,73,21
49,37,59
62,43,24
79,39,7
3,90,55
67,51,85
96,88,54
35,73,43
34,61,26
40,14,86
78,48,38
21,66,40
1,49,2
28,48,41
9,67,87
14,25,51
53,85,36
12,64,79
21,84,73
13,74,88
60,15,4
34,34,1
39,40,81
48,13,41
96,39,92
43,3,79
46,33,69
33,29,58
96,26,41
26,74,79
38,77,66
9,36,73
10,24,57
26,76,8
40,60,33
10,80,85
81,67,7
47,36,4
59,73,42
78,76,24
92,50,29
65,15,69
12,19,67
90,56,12
57,80,48
64,11,94
46,4,60
48,51,58
30,81,83
67,93,56
82,82,1
22,78,55
41,32,71
84,27,57
50,30,34
7,67,3
73,47,16
63,93,57
0,83,0
96,57,17
95,28,90
30,22,19
70,7,10
24,74,58
2,14,14
60,47,57
63,57,93
4,21,51
25,96,72
5,47,29
85,30,19
62,8,32
81,60,45
45,17,54
39,69,9
41,87,25
51,64,69
59,86,74
85,26,7
73,45,90
49,6,89
19,63,8
22,71,29
73,43,22
18,8,75
29,93,17
27,84,80
81,22,61
69,16,71
86,79,6
32,37,90
50,77,46
6,4,50
51,94,80
94,80,23
39,61,7
96,70,18
57,30,31
29,70,60
15,38,54
7,68,70
39,31,92
1,3,65
8,22,18
86,83,77
38,1,38
36,66,27
58,86,30
83,65,55
40,28,43
67,64,45
7,19,31
35,45,87
68,67,43
27,48,43
0,48,0
92,93,74
77,51,89
83,31,59
44,73,79
82,10,47
32,60,7
30,95,82
59,63,81
5,23,93
59,14,25
10,8,74
42,56,25
8,88,53
9,41,57
84,74,9
10,22,71
85,73,49
76,12,71
73,27,53
56,60,85
93,56,90
80,70,15
80,2,40
21,94,90
71,32,78
61,96,36
67,45,64
92,34,94
0,3,0
25,66,43
85,4,94
36,26,76
13,51,44
10,64,82
95,73,89
32,20,21
70,55,63
43,96,54
84,88,23
27,78,19
88,70,65
96,1,96
61,36,96
26,92,53
80,17,96
19,22,67
51,65,56
34,27,30
78,67,75
37,87,6
87,16,60
19,54,74
18,83,68
78,37,86
10,33,15
0,76,0
47,69,78
18,58,7
40,65,23
0,44,0
5,90,27
6,73,24
94,76,14
53,10,15
47,49,94
60,4,15
1,24,93
75,21,59
55,89,78
42,7,6
53,49,9
29,84,50
20,12,34
43,55,29
36,69,68
35,6,22
2,86,88
95,32,6
59,56,79
61,28,68
12,31,88
39,51,35
92,60,8
50,47,96
62,90,5
15,75,39
72,81,44
60,84,70
37,40,47
45,41,91
77,26,44
17,12,58
72,88,89
38,86,23
33,58,29
81,20,38
2,68,20
73,70,44
40,3,78
92,37,89
9,55,76
66,89,16
64,21,40
66,46,90
36,76,26
64,73,62
45,39,31
